"experiment","description","EFOType","EFOValue"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-13355>","Transcription profiling of human skin from psoriatic patients and normal controls","individual","4362_PP"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-13355>","Transcription profiling of human skin from psoriatic patients and normal controls","individual","4339_PP"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-13355>","Transcription profiling of human skin from psoriatic patients and normal controls","individual","3937_PP"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-13355>","Transcription profiling of human skin from psoriatic patients and normal controls","individual","4163_PN"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-13355>","Transcription profiling of human skin from psoriatic patients and normal controls","individual","4356_PN"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-13355>","Transcription profiling of human skin from psoriatic patients and normal controls","individual","5008_NN"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-13355>","Transcription profiling of human skin from psoriatic patients and normal controls","individual","4616_PN"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-13355>","Transcription profiling of human skin from psoriatic patients and normal controls","individual","5177_PN"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-13355>","Transcription profiling of human skin from psoriatic patients and normal controls","individual","4981_NN"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-13355>","Transcription profiling of human skin from psoriatic patients and normal controls","individual","4089_PN"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-13355>","Transcription profiling of human skin from psoriatic patients and normal controls","individual","5849_PP"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-13355>","Transcription profiling of human skin from psoriatic patients and normal controls","individual","4368_PP"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-13355>","Transcription profiling of human skin from psoriatic patients and normal controls","individual","4344_PN"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-13355>","Transcription profiling of human skin from psoriatic patients and normal controls","individual","4505_PP"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-13355>","Transcription profiling of human skin from psoriatic patients and normal controls","individual","4688_PP"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-13355>","Transcription profiling of human skin from psoriatic patients and normal controls","individual","5023_NN"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-13355>","Transcription profiling of human skin from psoriatic patients and normal controls","individual","5325_PP"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-13355>","Transcription profiling of human skin from psoriatic patients and normal controls","individual","4368_PN"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-13355>","Transcription profiling of human skin from psoriatic patients and normal controls","individual","4908_NN"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-13355>","Transcription profiling of human skin from psoriatic patients and normal controls","individual","3171_PN"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-13355>","Transcription profiling of human skin from psoriatic patients and normal controls","individual","4990_NN"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-13355>","Transcription profiling of human skin from psoriatic patients and normal controls","individual","4505_PN"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-13355>","Transcription profiling of human skin from psoriatic patients and normal controls","individual","5258_PP"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-13355>","Transcription profiling of human skin from psoriatic patients and normal controls","individual","4160_PN"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-13355>","Transcription profiling of human skin from psoriatic patients and normal controls","individual","4208_PP"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-13355>","Transcription profiling of human skin from psoriatic patients and normal controls","individual","5293_NN"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-13355>","Transcription profiling of human skin from psoriatic patients and normal controls","individual","4136_PP"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-13355>","Transcription profiling of human skin from psoriatic patients and normal controls","individual","4609_PN"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-13355>","Transcription profiling of human skin from psoriatic patients and normal controls","individual","4598_NN"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-13355>","Transcription profiling of human skin from psoriatic patients and normal controls","individual","5292_NN"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-13355>","Transcription profiling of human skin from psoriatic patients and normal controls","individual","5414_PN"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-13355>","Transcription profiling of human skin from psoriatic patients and normal controls","individual","4079_PN"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-13355>","Transcription profiling of human skin from psoriatic patients and normal controls","individual","511_PN"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-13355>","Transcription profiling of human skin from psoriatic patients and normal controls","individual","5147_NN"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-13355>","Transcription profiling of human skin from psoriatic patients and normal controls","individual","4697_PN"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-13355>","Transcription profiling of human skin from psoriatic patients and normal controls","individual","4213_PN"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-13355>","Transcription profiling of human skin from psoriatic patients and normal controls","individual","4968_NN"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-13355>","Transcription profiling of human skin from psoriatic patients and normal controls","individual","5815_NN"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-13355>","Transcription profiling of human skin from psoriatic patients and normal controls","individual","5305_NN"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-13355>","Transcription profiling of human skin from psoriatic patients and normal controls","individual","5243_NN"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-13355>","Transcription profiling of human skin from psoriatic patients and normal controls","individual","3059_PN"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-13355>","Transcription profiling of human skin from psoriatic patients and normal controls","individual","4778_NN"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-13355>","Transcription profiling of human skin from psoriatic patients and normal controls","individual","4935_NN"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-13355>","Transcription profiling of human skin from psoriatic patients and normal controls","individual","999027_NN"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-13355>","Transcription profiling of human skin from psoriatic patients and normal controls","individual","5079_NN"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-13355>","Transcription profiling of human skin from psoriatic patients and normal controls","individual","4689_NN"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-13355>","Transcription profiling of human skin from psoriatic patients and normal controls","individual","3690_PN"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-13355>","Transcription profiling of human skin from psoriatic patients and normal controls","individual","4298_PP"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-13355>","Transcription profiling of human skin from psoriatic patients and normal controls","individual","4164_PN"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-13355>","Transcription profiling of human skin from psoriatic patients and normal controls","individual","4426_PP"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-13355>","Transcription profiling of human skin from psoriatic patients and normal controls","individual","4208_PN"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-13355>","Transcription profiling of human skin from psoriatic patients and normal controls","individual","5295_NN"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-13355>","Transcription profiling of human skin from psoriatic patients and normal controls","individual","5030_NN"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-13355>","Transcription profiling of human skin from psoriatic patients and normal controls","individual","5257_NN"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-13355>","Transcription profiling of human skin from psoriatic patients and normal controls","individual","3822_PP"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-13355>","Transcription profiling of human skin from psoriatic patients and normal controls","individual","3690_PP"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-13355>","Transcription profiling of human skin from psoriatic patients and normal controls","individual","5248_NN"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-13355>","Transcription profiling of human skin from psoriatic patients and normal controls","individual","4688_PN"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-13355>","Transcription profiling of human skin from psoriatic patients and normal controls","individual","582_PN"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-13355>","Transcription profiling of human skin from psoriatic patients and normal controls","individual","4391_NN"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-13355>","Transcription profiling of human skin from psoriatic patients and normal controls","individual","5942_NN"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-13355>","Transcription profiling of human skin from psoriatic patients and normal controls","individual","4397_PN"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-13355>","Transcription profiling of human skin from psoriatic patients and normal controls","individual","5242_PN"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-13355>","Transcription profiling of human skin from psoriatic patients and normal controls","individual","5935_NN"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-13355>","Transcription profiling of human skin from psoriatic patients and normal controls","individual","4334_PN"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-13355>","Transcription profiling of human skin from psoriatic patients and normal controls","individual","4294_PP"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-13355>","Transcription profiling of human skin from psoriatic patients and normal controls","individual","4269_PP"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-13355>","Transcription profiling of human skin from psoriatic patients and normal controls","individual","5063_NN"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-13355>","Transcription profiling of human skin from psoriatic patients and normal controls","individual","5144_NN"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-13355>","Transcription profiling of human skin from psoriatic patients and normal controls","individual","3822_PN"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-13355>","Transcription profiling of human skin from psoriatic patients and normal controls","individual","4503_PN"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-13355>","Transcription profiling of human skin from psoriatic patients and normal controls","individual","4874_NN"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-13355>","Transcription profiling of human skin from psoriatic patients and normal controls","individual","5579_NN"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-13355>","Transcription profiling of human skin from psoriatic patients and normal controls","individual","4641_NN"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-13355>","Transcription profiling of human skin from psoriatic patients and normal controls","individual","4379_NN"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-13355>","Transcription profiling of human skin from psoriatic patients and normal controls","individual","5331_PP"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-13355>","Transcription profiling of human skin from psoriatic patients and normal controls","individual","4093_PP"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-13355>","Transcription profiling of human skin from psoriatic patients and normal controls","individual","4618_NN"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-13355>","Transcription profiling of human skin from psoriatic patients and normal controls","individual","4344_PP"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-13355>","Transcription profiling of human skin from psoriatic patients and normal controls","individual","3140_PN"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-13355>","Transcription profiling of human skin from psoriatic patients and normal controls","individual","777_PN"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-13355>","Transcription profiling of human skin from psoriatic patients and normal controls","individual","5849_PN"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-13355>","Transcription profiling of human skin from psoriatic patients and normal controls","individual","5093_NN"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-13355>","Transcription profiling of human skin from psoriatic patients and normal controls","individual","4163_PP"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-13355>","Transcription profiling of human skin from psoriatic patients and normal controls","individual","3937_PN"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-13355>","Transcription profiling of human skin from psoriatic patients and normal controls","individual","3983_PP"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-13355>","Transcription profiling of human skin from psoriatic patients and normal controls","individual","4093_PN"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-13355>","Transcription profiling of human skin from psoriatic patients and normal controls","individual","649_PN"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-13355>","Transcription profiling of human skin from psoriatic patients and normal controls","individual","5050_NN"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-13355>","Transcription profiling of human skin from psoriatic patients and normal controls","individual","4609_PP"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-13355>","Transcription profiling of human skin from psoriatic patients and normal controls","individual","3992_PP"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-13355>","Transcription profiling of human skin from psoriatic patients and normal controls","individual","3591_PN"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-13355>","Transcription profiling of human skin from psoriatic patients and normal controls","individual","953_PN"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-13355>","Transcription profiling of human skin from psoriatic patients and normal controls","individual","4213_PP"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-13355>","Transcription profiling of human skin from psoriatic patients and normal controls","individual","4294_PN"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-13355>","Transcription profiling of human skin from psoriatic patients and normal controls","individual","4362_PN"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-13355>","Transcription profiling of human skin from psoriatic patients and normal controls","individual","5223_NN"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-13355>","Transcription profiling of human skin from psoriatic patients and normal controls","individual","4269_PN"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-13355>","Transcription profiling of human skin from psoriatic patients and normal controls","individual","5242_PP"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-13355>","Transcription profiling of human skin from psoriatic patients and normal controls","individual","4247_PN"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-13355>","Transcription profiling of human skin from psoriatic patients and normal controls","individual","511_PP"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-13355>","Transcription profiling of human skin from psoriatic patients and normal controls","individual","4934_PN"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-13355>","Transcription profiling of human skin from psoriatic patients and normal controls","individual","4288_NN"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-13355>","Transcription profiling of human skin from psoriatic patients and normal controls","individual","4247_PP"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-13355>","Transcription profiling of human skin from psoriatic patients and normal controls","individual","4626_NN"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-13355>","Transcription profiling of human skin from psoriatic patients and normal controls","individual","4177_PN"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-13355>","Transcription profiling of human skin from psoriatic patients and normal controls","individual","4284_PP"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-13355>","Transcription profiling of human skin from psoriatic patients and normal controls","individual","4616_PP"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-13355>","Transcription profiling of human skin from psoriatic patients and normal controls","individual","4165_PN"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-13355>","Transcription profiling of human skin from psoriatic patients and normal controls","individual","4356_PP"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-13355>","Transcription profiling of human skin from psoriatic patients and normal controls","individual","5936_NN"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-13355>","Transcription profiling of human skin from psoriatic patients and normal controls","individual","4160_PP"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-13355>","Transcription profiling of human skin from psoriatic patients and normal controls","individual","4649_NN"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-13355>","Transcription profiling of human skin from psoriatic patients and normal controls","individual","4089_PP"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-13355>","Transcription profiling of human skin from psoriatic patients and normal controls","individual","4999_NN"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-13355>","Transcription profiling of human skin from psoriatic patients and normal controls","individual","4389_PP"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-13355>","Transcription profiling of human skin from psoriatic patients and normal controls","individual","4397_PP"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-13355>","Transcription profiling of human skin from psoriatic patients and normal controls","individual","4124_NN"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-13355>","Transcription profiling of human skin from psoriatic patients and normal controls","individual","5660_NN"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-13355>","Transcription profiling of human skin from psoriatic patients and normal controls","individual","4378_NN"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-13355>","Transcription profiling of human skin from psoriatic patients and normal controls","individual","5177_PP"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-13355>","Transcription profiling of human skin from psoriatic patients and normal controls","individual","4136_PN"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-13355>","Transcription profiling of human skin from psoriatic patients and normal controls","individual","4177_PP"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-13355>","Transcription profiling of human skin from psoriatic patients and normal controls","individual","5905_NN"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-13355>","Transcription profiling of human skin from psoriatic patients and normal controls","individual","4389_PN"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-13355>","Transcription profiling of human skin from psoriatic patients and normal controls","individual","4079_PP"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-13355>","Transcription profiling of human skin from psoriatic patients and normal controls","individual","4952_NN"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-13355>","Transcription profiling of human skin from psoriatic patients and normal controls","individual","3171_PP"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-13355>","Transcription profiling of human skin from psoriatic patients and normal controls","individual","4503_PP"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-13355>","Transcription profiling of human skin from psoriatic patients and normal controls","individual","4298_PN"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-13355>","Transcription profiling of human skin from psoriatic patients and normal controls","individual","4165_PP"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-13355>","Transcription profiling of human skin from psoriatic patients and normal controls","individual","5325_PN"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-13355>","Transcription profiling of human skin from psoriatic patients and normal controls","individual","5919_NN"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-13355>","Transcription profiling of human skin from psoriatic patients and normal controls","individual","4426_PN"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-13355>","Transcription profiling of human skin from psoriatic patients and normal controls","individual","5247_NN"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-13355>","Transcription profiling of human skin from psoriatic patients and normal controls","individual","649_PP"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-13355>","Transcription profiling of human skin from psoriatic patients and normal controls","individual","4382_NN"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-13355>","Transcription profiling of human skin from psoriatic patients and normal controls","individual","777_PP"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-13355>","Transcription profiling of human skin from psoriatic patients and normal controls","individual","4697_PP"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-13355>","Transcription profiling of human skin from psoriatic patients and normal controls","individual","4339_PN"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-13355>","Transcription profiling of human skin from psoriatic patients and normal controls","individual","5258_PN"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-13355>","Transcription profiling of human skin from psoriatic patients and normal controls","individual","5883_NN"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-13355>","Transcription profiling of human skin from psoriatic patients and normal controls","individual","3591_PP"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-13355>","Transcription profiling of human skin from psoriatic patients and normal controls","individual","4257_PN"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-13355>","Transcription profiling of human skin from psoriatic patients and normal controls","individual","4708_NN"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-13355>","Transcription profiling of human skin from psoriatic patients and normal controls","individual","5256_NN"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-13355>","Transcription profiling of human skin from psoriatic patients and normal controls","individual","4257_PP"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-13355>","Transcription profiling of human skin from psoriatic patients and normal controls","individual","582_PP"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-13355>","Transcription profiling of human skin from psoriatic patients and normal controls","individual","5749_NN"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-13355>","Transcription profiling of human skin from psoriatic patients and normal controls","individual","4216_PN"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-13355>","Transcription profiling of human skin from psoriatic patients and normal controls","individual","5575_NN"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-13355>","Transcription profiling of human skin from psoriatic patients and normal controls","individual","5324_NN"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-13355>","Transcription profiling of human skin from psoriatic patients and normal controls","individual","4334_PP"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-13355>","Transcription profiling of human skin from psoriatic patients and normal controls","individual","5346_NN"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-13355>","Transcription profiling of human skin from psoriatic patients and normal controls","individual","5143_NN"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-13355>","Transcription profiling of human skin from psoriatic patients and normal controls","individual","5839_NN"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-13355>","Transcription profiling of human skin from psoriatic patients and normal controls","individual","3140_PP"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-13355>","Transcription profiling of human skin from psoriatic patients and normal controls","individual","4977_NN"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-13355>","Transcription profiling of human skin from psoriatic patients and normal controls","individual","5331_PN"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-13355>","Transcription profiling of human skin from psoriatic patients and normal controls","individual","3777_PN"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-13355>","Transcription profiling of human skin from psoriatic patients and normal controls","individual","3586_PN"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-13355>","Transcription profiling of human skin from psoriatic patients and normal controls","individual","5281_NN"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-13355>","Transcription profiling of human skin from psoriatic patients and normal controls","individual","4164_PP"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-13355>","Transcription profiling of human skin from psoriatic patients and normal controls","individual","4394_NN"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-13355>","Transcription profiling of human skin from psoriatic patients and normal controls","individual","5142_NN"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-13355>","Transcription profiling of human skin from psoriatic patients and normal controls","individual","3586_PP"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-13355>","Transcription profiling of human skin from psoriatic patients and normal controls","individual","4162_PN"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-13355>","Transcription profiling of human skin from psoriatic patients and normal controls","individual","4992_NN"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-13355>","Transcription profiling of human skin from psoriatic patients and normal controls","individual","5844_NN"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-13355>","Transcription profiling of human skin from psoriatic patients and normal controls","individual","3777_PP"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-13284>","RNAi profiling by array of human CD34-derived erythroid progenitors treated with BCL11A siRNAs","RNAi","BCL11A siRNA"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-13284>","RNAi profiling by array of human CD34-derived erythroid progenitors treated with BCL11A siRNAs","cell type","erythroid progenitor"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-13284>","RNAi profiling by array of human CD34-derived erythroid progenitors treated with BCL11A siRNAs","organism","Homo sapiens"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-13284>","RNAi profiling by array of human CD34-derived erythroid progenitors treated with BCL11A siRNAs","RNAi","non-targeting siRNA"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-13309>","Transcription profiling of human A549 and Calu-6 lung cancer reveals tobacco smoke induces Polycomb-mediated repression of Dickkopf-1 in lung cancer cells","growth condition","control"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-13309>","Transcription profiling of human A549 and Calu-6 lung cancer reveals tobacco smoke induces Polycomb-mediated repression of Dickkopf-1 in lung cancer cells","cell line","A549"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-13309>","Transcription profiling of human A549 and Calu-6 lung cancer reveals tobacco smoke induces Polycomb-mediated repression of Dickkopf-1 in lung cancer cells","organism","Homo sapiens"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-13309>","Transcription profiling of human A549 and Calu-6 lung cancer reveals tobacco smoke induces Polycomb-mediated repression of Dickkopf-1 in lung cancer cells","disease","lung cancer"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-13309>","Transcription profiling of human A549 and Calu-6 lung cancer reveals tobacco smoke induces Polycomb-mediated repression of Dickkopf-1 in lung cancer cells","cell line","Calu-6"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-13309>","Transcription profiling of human A549 and Calu-6 lung cancer reveals tobacco smoke induces Polycomb-mediated repression of Dickkopf-1 in lung cancer cells","growth condition","tobacco smoke condensate 3 microgram per milliliter"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-13309>","Transcription profiling of human A549 and Calu-6 lung cancer reveals tobacco smoke induces Polycomb-mediated repression of Dickkopf-1 in lung cancer cells","growth condition","tobacco smoke condensate 0.6 microgram per milliliter"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-13309>","Transcription profiling of human A549 and Calu-6 lung cancer reveals tobacco smoke induces Polycomb-mediated repression of Dickkopf-1 in lung cancer cells","growth condition","tobacco smoke condensate 1 microgram per milliliter"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-13314>","Transcription profiling of human pulmonary MALT lymphoma","disease","pulmonary MALT lymphoma"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-13314>","Transcription profiling of human pulmonary MALT lymphoma","genotype","wild type"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-13314>","Transcription profiling of human pulmonary MALT lymphoma","sex","male"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-13314>","Transcription profiling of human pulmonary MALT lymphoma","organism","Homo sapiens"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-13314>","Transcription profiling of human pulmonary MALT lymphoma","sex","female"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-13314>","Transcription profiling of human pulmonary MALT lymphoma","genotype","gene fusion: API2-MALT1"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-13314>","Transcription profiling of human pulmonary MALT lymphoma","genotype","gene fusion: IgH-MALT1"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-13319>","Transcription profiling of human and rat uterine leiomyoma: identification of a dysregulated mTOR pathway","organism","Homo sapiens"
